% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.159289       1.3615190       1892.1575
0.000       30.661944       1.3338028       1947.8744
0.000       31.164599       1.3007305       1994.5375
0.000       31.667254       1.2791156       2057.8385
0.000       32.169909       1.2344683       2082.0908
0.000       33.175218       1.1985839       2217.0734
0.000       34.180528       1.1149419       2255.5830
0.000       35.185838       1.0851183       2394.6996
0.000       36.191147       1.0164631       2441.0064
0.000       37.196457       1.0047424       2619.5683
0.000       38.201767      0.97777167       2761.5827
0.000       39.207076      0.91488694       2793.3867
0.000       40.212386      0.89181208       2937.8062
0.000       41.217696      0.84615518       3001.7284
0.000       42.223005      0.80862930       3083.6648
0.000       43.228315      0.79685673       3261.0347
0.000       44.233625      0.78076554       3423.3277
0.000       45.238934      0.74239044       3482.0879
0.000       46.244244      0.73184979       3666.6146
0.000       47.249554      0.69388758       3708.1091
0.000       48.254863      0.67916738       3866.0756
0.000       49.260173      0.66997686       4057.1200
0.000       50.265482      0.64784804       4168.2425
0.000       51.270792      0.62533961       4269.6894
0.000       52.276102      0.60785195       4399.2400
0.000       53.281411      0.59200570       4536.5250
0.000       54.286721      0.58057693       4705.5552
0.000       55.292031      0.56028500       4798.0733
0.000       56.297340      0.55317971       5000.3469
0.000       57.302650      0.54233414       5169.6521
0.000       58.307960      0.51941300       5216.3486
0.000       59.313269      0.51227827       5415.4155
0.000       60.318579      0.50027588       5562.0274
0.000       61.323889      0.49545147       5788.4254
0.000       62.329198      0.48220486       5915.2957
0.000       63.334508      0.47488879       6112.0005
0.000       64.339818      0.46345984       6253.4811
0.000       66.350437      0.44187851       6538.8971
0.000       68.361056      0.43297752       7007.4804
0.000       70.371675      0.42318662       7471.2945
0.000       72.382295      0.39287559       7547.8342
0.000       74.392914      0.38891215       8111.7859
0.000       76.403533      0.36868284       8330.3550
0.000       78.414153      0.36106104       8819.3027
0.000       80.424772      0.34909088       9199.7977
0.000       82.435391      0.34372063       9754.7686
0.000       84.446011      0.32679907       9969.8469
0.000       86.456630      0.32260761       10561.845
0.000       88.467249      0.31128203       10918.724
0.000       90.477868      0.30932822       11606.917
0.000       92.488488      0.29594739       11861.724
0.000       94.499107      0.29045588       12417.482
0.000       96.509726      0.28575215       13012.868
0.000       98.520346      0.27761304       13448.935
0.000       100.53096      0.27072120       13934.522
0.000       102.54158      0.26511683       14481.303
0.000       104.55220      0.26000256       15053.845
0.000       106.56282      0.25259598       15485.094
0.000       108.57344      0.24736022       16038.765
0.000       110.58406      0.24186100       16569.665
0.000       112.59468      0.23869245       17260.865
0.000       114.60530      0.23165229       17665.298
0.000       116.61592      0.22862128       18367.939
0.000       118.62654      0.22644801       19150.686
0.000       120.63716      0.22132205       19685.127
0.000       122.64778      0.21612896       20200.507
0.000       124.65840      0.21343917       20946.381
0.000       126.66902      0.21023403       21646.339
0.000       128.67964      0.20605325       22242.274
0.000       132.70087      0.19896957       23554.738
0.000       136.72211      0.19603031       25381.061
0.000       140.74335      0.19065770       26928.258
0.000       144.76459      0.18180860       27942.914
0.000       148.78583      0.17458653       29131.691
0.000       152.80707      0.17277167       31230.081
0.000       156.82831      0.16385769       32019.197
0.000       160.84954      0.16447119       34675.248
0.000       164.87078      0.15728967       35710.963
0.000       168.89202      0.15271680       37272.153
0.000       172.91326      0.14998850       39283.766
0.000       176.93450      0.14413325       40445.665
0.000       180.95574      0.14157847       42499.570
0.000       184.97698      0.13979235       44823.596
0.000       188.99821      0.13619093       46579.147
0.000       193.01945      0.13149069       47903.639
0.000       197.04069      0.12946567       50175.608
0.000       201.06193      0.12628310       52000.203
0.000       205.08317      0.12462127       54456.847
0.000       209.10441      0.12174408       56390.723
0.000       213.12565      0.11899256       58357.570
0.000       217.14688      0.11662797       60496.994
0.000       221.16812      0.11609293       63627.320
0.000       225.18936      0.11345245       65633.830
0.000       229.21060      0.10966133       66900.268
0.000       233.23184      0.10850995       69743.432
0.000       237.25308      0.10555161       71411.913
0.000       241.27432      0.10548356       75056.499
0.000       245.29555      0.10263144       76739.636
0.000       249.31679      0.10075251       79100.772
0.000       253.33803     0.099138350       81660.704
0.000       257.35927     0.097009754       83773.201
0.000       265.40175     0.092629448       87726.473
0.000       273.44422     0.091293036       94561.461
0.000       281.48670     0.087910036       99330.441
0.000       289.52918     0.085493861       105119.24
0.000       297.57166     0.082318199       109885.61
0.000       305.61413     0.078577564       113628.98
0.000       313.65661     0.078045398       122005.92
0.000       321.69909     0.075697645       127673.90
0.000       329.74156     0.072928256       132460.74
0.000       337.78404     0.071750452       140091.66
0.000       345.82652     0.067449613       141326.82
0.000       353.86900     0.067312429       151109.95
0.000       361.91147     0.064955985       155989.90
0.000       369.95395     0.063527074       162956.66
0.000       377.99643     0.060606628       165826.32
0.000       386.03891     0.059516996       173462.05
0.000       394.08138     0.057994137       179809.28
0.000       402.12386     0.056532509       186229.31
0.000       410.16634     0.055783879       195010.96
0.000       418.20881     0.053736498       199121.96
0.000       426.25129     0.052436328       205730.96
0.000       434.29377     0.050844106       210989.90
0.000       442.33625     0.049410444       216643.96
0.000       450.37872     0.048711419       225441.90
0.000       458.42120     0.047263268       230668.39
0.000       466.46368     0.045885794       235940.23
0.000       474.50615     0.044393326       240277.71
0.000       482.54863     0.043849679       249608.83
0.000       490.59111     0.042005337       251266.02
0.000       498.63359     0.041794454       262502.53
0.000       506.67606     0.040530704       267082.59
0.000       514.71854     0.039841615       275243.22
0.250     0.062831853       1937.4836     0.024347136
