% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944       1.0141735       1481.0905
0.000       31.164599      0.99251435       1521.9195
0.000       31.667254      0.97650710       1571.0025
0.000       32.169909      0.94243683       1589.5420
0.000       33.175218      0.90834208       1680.2003
0.000       34.180528      0.83835218       1696.0282
0.000       35.185838      0.82857431       1828.5440
0.000       36.191147      0.74756909       1795.2654
0.000       37.196457      0.74316933       1937.5939
0.000       38.201767      0.72304103       2042.1308
0.000       39.207076      0.67930518       2074.0946
0.000       40.212386      0.64225469       2115.7145
0.000       41.217696      0.61944463       2197.4747
0.000       42.223005      0.59852092       2282.4276
0.000       43.228315      0.57470163       2351.8933
0.000       44.233625      0.55878134       2450.0206
0.000       45.238934      0.53357674       2502.6738
0.000       46.244244      0.52511993       2630.8847
0.000       47.249554      0.50560636       2701.9413
0.000       48.254863      0.48784334       2776.9874
0.000       49.260173      0.47542896       2879.0134
0.000       50.265482      0.46054844       2963.1603
0.000       51.270792      0.44426012       3033.3161
0.000       52.276102      0.43668643       3160.4545
0.000       53.281411      0.41665532       3192.8194
0.000       54.286721      0.41579915       3370.0372
0.000       55.292031      0.39332423       3368.2830
0.000       56.297340      0.39154698       3539.3032
0.000       57.302650      0.38034044       3625.4915
0.000       58.307960      0.37052770       3721.1268
0.000       59.313269      0.35841349       3788.8743
0.000       60.318579      0.35647999       3963.3162
0.000       61.323889      0.34825220       4068.6768
0.000       62.329198      0.33743329       4139.3563
0.000       63.334508      0.33397569       4298.3949
0.000       64.339818      0.32183938       4342.5909
0.000       66.350437      0.30313094       4485.7171
0.000       68.361056      0.29329460       4746.7965
0.000       70.371675      0.28628843       5054.3782
0.000       72.382295      0.27110003       5208.3104
0.000       74.392914      0.26850418       5600.3609
0.000       76.403533      0.25253334       5705.9678
0.000       78.414153      0.24532268       5992.2693
0.000       80.424772      0.23187131       6110.6414
0.000       82.435391      0.22839280       6481.7724
0.000       84.446011      0.22680370       6919.2306
0.000       86.456630      0.21631104       7081.8031
0.000       88.467249      0.21219063       7442.9315
0.000       90.477868      0.20368759       7642.9658
0.000       92.488488      0.20045851       8034.4805
0.000       94.499107      0.19362766       8277.9114
0.000       96.509726      0.18886384       8600.6710
0.000       98.520346      0.18333038       8881.4213
0.000       100.53096      0.18196410       9366.0293
0.000       102.54158      0.17525097       9572.6184
0.000       104.55220      0.17149562       9929.3968
0.000       106.56282      0.16234431       9952.3234
0.000       108.57344      0.16048523       10405.816
0.000       110.58406      0.15791060       10818.303
0.000       112.59468      0.15620178       11295.615
0.000       114.60530      0.14956053       11405.159
0.000       116.61592      0.14726120       11831.290
0.000       118.62654      0.14385365       12165.689
0.000       120.63716      0.14139137       12575.824
0.000       122.64778      0.13995644       13081.037
0.000       124.65840      0.13471418       13220.509
0.000       126.66902      0.13361629       13757.542
0.000       128.67964      0.13281384       14336.498
0.000       132.70087      0.12674212       15004.190
0.000       136.72211      0.12238755       15846.150
0.000       140.74335      0.11843738       16727.949
0.000       144.76459      0.11279358       17335.712
0.000       148.78583      0.11140663       18589.426
0.000       152.80707      0.10727464       19390.885
0.000       156.82831      0.10404097       20330.498
0.000       160.84954      0.10124453       21345.255
0.000       164.87078     0.097548455       22147.349
0.000       168.89202     0.095571548       23325.248
0.000       172.91326     0.092178147       24142.549
0.000       176.93450     0.088336358       24788.332
0.000       180.95574     0.085986490       25811.756
0.000       184.97698     0.084962300       27242.662
0.000       188.99821     0.081502725       27875.039
0.000       193.01945     0.081511479       29695.612
0.000       197.04069     0.077973922       30219.509
0.000       201.06193     0.076626118       31552.707
0.000       205.08317     0.074143060       32398.941
0.000       209.10441     0.073056031       33838.873
0.000       213.12565     0.071921300       35272.393
0.000       217.14688     0.069242917       35917.526
0.000       221.16812     0.068223514       37391.418
0.000       225.18936     0.066599804       38528.918
0.000       229.21060     0.064284118       39217.332
0.000       233.23184     0.064039803       41160.795
0.000       237.25308     0.062961382       42597.104
0.000       241.27432     0.061474987       43742.337
0.000       245.29555     0.060291891       45081.484
0.000       249.31679     0.057808426       45385.383
0.000       253.33803     0.057354330       47243.019
0.000       257.35927     0.056152156       48490.442
0.000       265.40175     0.053841763       50991.861
