% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       30.661944      0.49586880       724.16264
0.000       31.164599      0.48505249       743.77851
0.000       31.667254      0.46520412       748.41939
0.000       32.169909      0.44416675       749.14484
0.000       33.175218      0.42336590       783.11853
0.000       34.180528      0.39121812       791.45373
0.000       35.185838      0.36663069       809.10105
0.000       36.191147      0.33560907       805.95539
0.000       37.196457      0.32849512       856.45374
0.000       38.201767      0.31302147       884.08644
0.000       39.207076      0.28644367       874.58668
0.000       40.212386      0.27882323       918.49913
0.000       41.217696      0.26027825       923.33492
0.000       42.223005      0.24943747       951.21650
0.000       43.228315      0.23505787       961.94442
0.000       44.233625      0.22393755       981.87173
0.000       45.238934      0.21070480       988.28402
0.000       46.244244      0.20571154       1030.6281
0.000       47.249554      0.19272901       1029.9366
0.000       48.254863      0.18537522       1055.2253
0.000       49.260173      0.17830117       1079.7227
0.000       50.265482      0.17214671       1107.5888
0.000       51.270792      0.16438121       1122.3608
0.000       52.276102      0.15492777       1121.2672
0.000       53.281411      0.14966969       1146.9151
0.000       54.286721      0.14517554       1176.6425
0.000       55.292031      0.13830858       1184.4234
0.000       56.297340      0.13282304       1200.6248
0.000       57.302650      0.12942763       1233.7335
0.000       58.307960      0.12289521       1234.2091
0.000       59.313269      0.11946192       1262.8603
0.000       60.318579      0.11674394       1297.9498
0.000       61.323889      0.11136916       1301.1407
0.000       62.329198      0.10790113       1323.6431
0.000       63.334508      0.10384980       1336.5866
0.000       64.339818      0.10049510       1355.9841
0.000       66.350437     0.095321577       1410.5641
0.000       68.361056     0.087762685       1420.3862
0.000       70.371675     0.082231636       1451.7869
0.000       72.382295     0.078886532       1515.5496
0.000       74.392914     0.074086369       1545.2661
0.000       76.403533     0.071702344       1620.1079
0.000       78.414153     0.066556054       1625.7029
0.000       80.424772     0.065070335       1714.8369
0.000       82.435391     0.061373199       1741.7673
0.000       84.446011     0.057032624       1739.9270
0.000       86.456630     0.054540415       1785.5976
0.000       88.467249     0.052350450       1836.2772
0.000       90.477868     0.050165011       1882.3408
0.000       92.488488     0.047649804       1909.8287
0.000       94.499107     0.045992887       1966.2740
0.000       96.509726     0.044108333       2008.6495
0.000       98.520346     0.042612971       2064.3810
0.000       100.53096     0.040126054       2065.3624
0.000       102.54158     0.038457724       2100.6510
0.000       104.55220     0.037217698       2154.8614
0.000       106.56282     0.036168704       2217.2791
0.000       108.57344     0.034580065       2242.1614
0.000       110.58406     0.033310789       2282.0901
0.000       112.59468     0.032704747       2365.0192
0.000       114.60530     0.030560651       2330.4885
0.000       116.61592     0.030222573       2428.1483
0.000       118.62654     0.028960400       2449.1782
0.000       120.63716     0.028245145       2512.2182
0.000       122.64778     0.027312251       2552.7413
0.000       124.65840     0.026310842       2582.0796
0.000       126.66902     0.025568232       2632.5834
0.000       128.67964     0.024896314       2687.4152
0.000       132.70087     0.023136538       2738.9870
0.000       136.72211     0.022606631       2926.9977
0.000       140.74335     0.021372196       3018.5826
0.000       144.76459     0.019947653       3065.8373
0.000       148.78583     0.018388988       3068.4058
0.000       152.80707     0.017656330       3191.5453
0.000       156.82831     0.017168383       3354.8491
0.000       160.84954     0.016064468       3386.8512
0.000       164.87078     0.015365886       3488.6626
0.000       168.89202     0.014466579       3530.7217
0.000       172.91326     0.013867941       3632.1780
0.000       176.93450     0.013155679       3691.6547
0.000       180.95574     0.013128973       3941.1057
0.000       184.97698     0.012446689       3990.9578
0.000       188.99821     0.011785288       4030.7286
0.000       193.01945     0.011324991       4125.8305
0.000       197.04069     0.010977254       4254.3355
0.000       201.06193     0.010487746       4318.5900
0.000       205.08317     0.010082852       4405.9921
0.000       209.10441    0.0097726594       4526.6048
0.000       213.12565    0.0093486112       4584.8432
0.000       217.14688    0.0092623894       4804.5653
0.000       221.16812    0.0086707371       4752.1909
0.000       225.18936    0.0083161487       4811.0084
0.000       229.21060    0.0081499274       4971.9653
0.000       233.23184    0.0079471454       5107.9299
0.000       237.25308    0.0076882793       5201.5763
0.000       241.27432    0.0074560137       5305.3035
0.000       245.29555    0.0072206004       5398.9910
0.000       249.31679    0.0069783037       5478.6647
0.000       253.33803    0.0068412369       5635.1576
0.000       257.35927    0.0065521326       5658.1230
0.000       265.40175    0.0063293934       5994.3719
0.000       273.44422    0.0058080609       6015.9980
0.000       281.48670    0.0057217876       6465.1058
0.000       289.52918    0.0051026280       6273.9518
0.000       297.57166    0.0049620132       6623.7336
0.000       305.61413    0.0045529130       6583.8497
0.000       313.65661    0.0044243667       6916.4734
0.000       321.69909    0.0043230288       7291.3488
0.000       329.74156    0.0039189066       7117.9718
