alpha,ACF+APS,ACF,APS,ACF_NW+APSNW,ACFNW,APSNW
0.8,115.0970992021177,116.729,113.4651984042354,109.50913812418587,111.907,107.11127624837174
0.8001,115.08085659494054,116.71103029268043,113.45068289720064,109.50825574234793,111.90603659702579,107.11047488767005
0.8002,115.06466417686174,116.69317733504074,113.43615101868274,109.5073908027934,111.90510795288553,107.10967365270126
0.8003,115.04851555436323,116.67542815489425,113.42160295383222,109.50654357818524,111.90421464993103,107.10887250643947
0.8004,115.03240432588547,116.6577697800543,113.40703887171664,109.50571434482855,111.90335727051404,107.10807141914306
0.8005,115.01632405284224,116.64018923833429,113.39245886735017,109.50490339617093,111.90253639698638,107.1072703953555
0.8006,115.00026824889267,116.6226735575475,113.37786294023783,109.50411105816568,111.90175261169976,107.1064695046316
0.8007,114.98423039371943,116.60520976550737,113.36325102193148,109.5033376682732,111.90100649700607,107.10566883954034
0.8008,114.96820397795138,116.58778489002715,113.3486230658756,109.50258354662844,111.90029863525702,107.10486845799987
0.8009,114.95218250373253,116.57038595892024,113.33397904854482,109.5018489847312,111.8996296088044,107.104068360658
0.8009999999999999,114.9361595033432,116.55299999999998,113.31931900668643,109.50113423645189,111.899,107.10326847290376
0.8010999999999999,114.92012856460728,116.53561404107973,113.30464308813484,109.50043956271952,111.89841039119557,107.10246873424349
0.8011999999999999,114.90408330392411,116.51821510997283,113.28995149787539,109.49976522827043,111.89786136474297,107.10166909179792
0.8012999999999999,114.888017335222,116.50079023449263,113.27524443595136,109.49911153726308,111.89735350299394,107.1008695715322
0.8013999999999999,114.87192423875706,116.48332644245248,113.26052203506165,109.49847883281126,111.89688738830019,107.10007027732235
0.8014999999999999,114.85579754499366,116.4658107616657,113.24578432832163,109.49786744578131,111.89646360301361,107.09927128854899
0.8015999999999999,114.83963074877641,116.44823021994567,113.23103127760716,109.49727770913748,111.89608272948593,107.09847268878903
0.8016999999999999,114.82341734502867,116.43057184510576,113.2162628449516,109.49670990333587,111.89574535006896,107.09767445660276
0.8017999999999998,114.8071508296971,116.41282266495926,113.20147899443494,109.49616427530458,111.89545204711446,107.0968765034947
0.8018999999999998,114.79082470665644,116.39496970731955,113.18667970599333,109.49564109269983,111.89520340297419,107.09607878242545
0.8019999999999998,114.77443250832721,116.377,113.17186501665441,109.49514064294684,111.89499999999998,107.09528128589369
0.8020999999999998,114.75797026468942,116.35890554300059,113.15703498637824,109.4946624467047,111.89484083819181,107.09448405521759
0.8021999999999998,114.74144396409802,116.34069822506791,113.14218970312814,109.49420287285216,111.89471858814255,107.09368715756176
0.8022999999999998,114.72486209160652,116.32239490713523,113.12732927607782,109.49375747200905,111.89462433809328,107.09289060592482
0.8023999999999998,114.7082331275417,116.30401245013582,113.11245380494759,109.49332177865979,111.89454917628511,107.09209438103447
0.8024999999999998,114.69156553924856,116.28556771500293,113.0975633634942,109.49289136611571,111.89448419095912,107.09129854127231
0.8025999999999998,114.67486777743574,116.26707756266978,113.0826579922017,109.4924618160588,111.89442047035638,107.09050316176125
0.8026999999999997,114.65814828613314,116.24855885406967,113.06773771819661,109.49202867660861,111.89434910271804,107.08970825049917
0.8027999999999997,114.64141549347583,116.23002845013586,113.0528025368158,109.49158746741394,111.89426117628514,107.08891375854273
0.8028999999999997,114.62467782534378,116.21150321180156,113.037852438886,109.49113366819105,111.89414777929876,107.08811955708336
0.8029999999999997,114.60794370826365,116.19300000000008,113.02288741652721,109.49066275287385,111.89400000000002,107.08732550574766
0.8030999999999997,114.59122013320976,116.17453278691804,113.00790747950148,109.49017039251595,111.89380925603713,107.08653152899478
0.8031999999999997,114.57450831170314,116.15610398975566,112.9929126336506,109.48965294693059,111.89356828268683,107.08573761117434
0.8032999999999997,114.55780803344561,116.13771313696661,112.97790292992462,109.48910699964469,111.89327014463296,107.0849438546564
0.8033999999999997,114.54111910792838,116.11935975700447,112.96287845885227,109.4885291607876,111.89290790655937,107.08415041501583
0.8034999999999997,114.52444135188753,116.10104337832288,112.94783932545218,109.4879160268965,111.89247463314993,107.08335742064307
0.8035999999999996,114.50777456166551,116.08276352937547,112.93278559395556,109.48726413946474,111.89196338908853,107.08256488984094
0.8036999999999996,114.49111850564366,116.06451973861587,112.91771727267144,109.486569990327,111.89136723905897,107.08177274159503
0.8037999999999996,114.474472933701,116.0463115344977,112.90263433290428,109.48583005639048,111.89067924774511,107.08098086503585
0.8038999999999996,114.45783760155274,116.02813844547455,112.88753675763094,109.48504084882283,111.88989247983085,107.08018921781482
0.8039999999999996,114.4412122659143,116.01000000000008,112.87242453182853,109.48419892864891,111.88899999999998,107.07939785729782
0.8040999999999996,114.4245964867655,115.9918953093277,112.8572976642033,109.4833034921026,111.88800013765976,107.07860684654547
0.8041999999999996,114.40798900286248,115.97382181590983,112.84215618981511,109.4823642381556,111.88691228111023,107.07781619520097
0.8042999999999996,114.39138835212731,115.95577654499877,112.82700015925586,109.48139349626783,111.88576108337497,107.07702590916067
0.8043999999999996,114.37479307201637,115.93775652184674,112.81182962218601,109.48040359138145,111.88457119747746,107.07623598528544
0.8044999999999995,114.35820169701553,115.91975877170601,112.79664462232505,109.47940687381046,111.88336727644119,107.07544647117973
0.8045999999999995,114.34161273487419,115.90178031982877,112.78144514991959,109.47841571591646,111.8821739732896,107.07465745854331
0.8046999999999995,114.32502467140745,115.88381819146734,112.76623115134757,109.47744247577359,111.8810159410462,107.07386901050097
0.8047999999999995,114.30843601064981,115.86586941187389,112.75100260942573,109.4764994862638,111.87991783273446,107.07308113979315
