logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 -9.865456277445778e-24 0.0 6.576970851630519e-24 2.6307883406522077e-23 -1.64424271290763e-23 -1.64424271290763e-23 1.9730912554891556e-23 0.0 0.0 -2.6307883406522077e-23 -1.9730912554891556e-23 -1.3153941703261039e-23 -3.28848542581526e-23 1.64424271290763e-23 0.0 -6.576970851630519e-24
-3.191599403766738 -1.1053661418396001e-07 -1.1156429238339205e-07 -1.1730669857801872e-07 -1.1920644297010124e-07 -1.2094899364621124e-07 -1.2654619406944965e-07 -1.2689603242934772e-07 -1.3390307063606665e-07 -1.3798426068941257e-07 -1.4106830967763407e-07 -1.4466447817022278e-07 -1.4455653933496552e-07 -1.4123222376762514e-07 -1.3129052738799828e-07 -1.2297443907226684e-07 -1.2239847304925383e-07
-3.0821688118694945 -9.480887807595025e-08 -9.569033276705482e-08 -1.0061567893210814e-07 -1.0224511760972748e-07 -1.0373972892754393e-07 -1.0854052996900077e-07 -1.088405914703842e-07 -1.1485063109317136e-07 -1.1835112776596161e-07 -1.209963618964183e-07 -1.2408084845023117e-07 -1.239882677253092e-07 -1.2113695341975763e-07 -1.1260981436377494e-07 -1.0547698322889983e-07 -1.0498296870841836e-07
-2.9727382199722507 4.7183208324030144e-08 4.76218788490125e-08 5.007305893773265e-08 5.088397608112229e-08 5.162779415600281e-08 5.4016992301347585e-08 5.416632287689151e-08 5.7157318628686993e-08 5.889939877035393e-08 6.021584334364826e-08 6.175088915997591e-08 6.170481482896989e-08 6.028581104360353e-08 5.604213907267108e-08 5.249236753010191e-08 5.224651302250729e-08
-2.8633076280750074 3.1543964501598e-07 3.1837234246480884e-07 3.3475951503150243e-07 3.401808381024468e-07 3.451535756044277e-07 3.6112637274159415e-07 3.6212471061247804e-07 3.8212077852950687e-07 3.937673189195326e-07 4.025683060425642e-07 4.1283073466039695e-07 4.1252270832787043e-07 4.0303606962245695e-07 3.746653329213384e-07 3.509336132047371e-07 3.492899721435218e-07
-2.753877036177764 3.244364483260898e-07 3.274527906259457e-07 3.443073494921135e-07 3.4988329668250744e-07 3.5499786398275396e-07 3.714262288217798e-07 3.724530407592682e-07 3.9301942598696924e-07 4.049981428639643e-07 4.140501471033647e-07 4.2460527530166443e-07 4.2428846360441956e-07 4.145312519895593e-07 3.853513400883824e-07 3.609427567692672e-07 3.5925223664394595e-07
-2.6444464442805207 -5.423588833260195e-07 -5.474012885487313e-07 -5.755769752595505e-07 -5.848982599279918e-07 -5.934482580061137e-07 -6.209114781681454e-07 -6.226279948501401e-07 -6.570087242154758e-07 -6.770334888268673e-07 -6.921656817000046e-07 -7.098106398190073e-07 -7.092810271961696e-07 -6.929699424733716e-07 -6.441900211176437e-07 -6.033863072907131e-07 -6.005602727556316e-07
-2.5350158523832773 -4.038110666524072e-07 -4.0756536863597803e-07 -4.285434598116723e-07 -4.354835838149009e-07 -4.4184944957269196e-07 -4.622970767219518e-07 -4.635751021283687e-07 -4.891731321858152e-07 -5.040824879754724e-07 -5.15349099683602e-07 -5.284865803778924e-07 -5.280922594868449e-07 -5.159479087208366e-07 -4.796290197352358e-07 -4.492487831236597e-07 -4.471446707820119e-07
-2.425585260486034 6.334863019567823e-06 6.393759346994317e-06 6.722857147883484e-06 6.83173166502766e-06 6.9315973965711544e-06 7.252373442011392e-06 7.272422708992251e-06 7.673996681020861e-06 7.907890039666196e-06 8.084637156721117e-06 8.29073388732948e-06 8.28454790324725e-06 8.09403108754428e-06 7.524271599142818e-06 7.0476758509583565e-06 7.014667187841193e-06
-2.3161546685887906 2.0042095112305004e-05 2.022842996949152e-05 2.12696220846639e-05 2.161407679839168e-05 2.193002972174172e-05 2.2944893656858166e-05 2.300832507037434e-05 2.4278815642492908e-05 2.5018802115069552e-05 2.5577990612105443e-05 2.6230034746987105e-05 2.621046367166056e-05 2.5607710916152214e-05 2.3805118843931024e-05 2.229727608778491e-05 2.2192844032398593e-05
-2.206724076691547 4.071788521155923e-05 4.109644649885571e-05 4.321175135052967e-05 4.391155181627725e-05 4.455344752593909e-05 4.6615263567818476e-05 4.674413198201799e-05 4.9325283752230425e-05 5.08286537382347e-05 5.196471126646948e-05 5.328941599859509e-05 5.324965504575321e-05 5.2025091577103076e-05 4.836291271462949e-05 4.529955192735611e-05 4.508738586289029e-05
-2.097293484794304 6.836223331733021e-05 6.899780893508662e-05 7.254924494548048e-05 7.372415671868407e-05 7.480185080916297e-05 7.826348317489199e-05 7.847984344392288e-05 8.281340101023307e-05 8.53374449091613e-05 8.724479911981288e-05 8.946887764215306e-05 8.940212202552483e-05 8.734617307039652e-05 8.119765321123786e-05 7.605450336967162e-05 7.569829267931594e-05
