logk logPk493 logPk424 logPk373 logPk333 logPk300 logPk197 logPk103 logPk052 logPk023 logPk002 logPk000
-3.3010299956639813 0.0 0.0 0.0 0.0 0.0 0.0 1.4954300358182353e-36 0.0 7.477150179091176e-37 0.0 0.0
-3.135943223688732 0.0 0.0 0.0 0.0 0.0 0.0 -3.964212998913743e-20 0.0 1.982106499456871e-20 0.0 -1.6788911463289469e-21
-2.970856451713483 0.0 0.0 0.0 0.0 0.0 0.0 1.6996982978189723e-20 0.0 -8.498491489094868e-21 0.0 7.198423557010156e-22
-2.805769679738234 0.0 0.0 0.0 0.0 0.0 0.0 1.4291231909325802e-19 0.0 -7.145615954662901e-20 0.0 6.0525059398360776e-21
-2.6406829077629848 0.0 0.0 0.0 0.0 0.0 0.0 -1.9697484959062074e-19 0.0 9.848742479531042e-20 0.0 -8.342118123263971e-21
-2.4755961357877356 0.0 0.0 0.0 0.0 0.0 0.0 -1.2108307189697512e-18 0.0 6.054153594848758e-19 0.0 -5.1280114724876387e-20
-2.3105093638124865 0.0 0.0 0.0 0.0 0.0 0.0 -1.2864684144481298e-18 0.0 6.43234207224065e-19 0.0 -5.448346069297072e-20
-2.145422591837238 0.0 0.0 0.0 0.0 0.0 0.0 1.8581861350398943e-18 0.0 -9.290930675199471e-19 0.0 7.869638314602495e-20
-1.9803358198619885 0.0 0.0 0.0 0.0 0.0 0.0 8.239680804455203e-18 0.0 -4.119840402227602e-18 0.0 3.4896023889147806e-19
-1.8152490478867394 0.0 0.0 0.0 0.0 0.0 0.0 1.7858015593797774e-17 0.0 -8.929007796898888e-18 0.0 7.563081065433877e-19
-1.6501622759114902 0.0 0.0 0.0 0.0 0.0 0.0 3.071319050306762e-17 0.0 -1.5356595251533814e-17 0.0 1.3007399861017545e-18
-1.485075503936241 0.0 0.0 0.0 0.0 0.0 0.0 4.6805205532264745e-17 0.0 -2.3402602766132375e-17 0.0 1.982255877566578e-18
-1.3199887319609922 0.0 0.0 0.0 0.0 0.0 0.0 6.613406068138911e-17 0.0 -3.3067030340694553e-17 0.0 2.800855780937857e-18
-1.154901959985743 0.0 0.0 0.0 0.0 0.0 0.0 8.869975595044076e-17 0.0 -4.4349877975220384e-17 0.0 3.756539696215594e-18
-1.1031983023350782 0.0 0.0 0.0 0.0 0.0 0.0 9.64327466553287e-17 0.0 -4.8216373327664354e-17 0.0 4.084041009405322e-18
-0.8556749215995118 7.157296363655949e-05 0.0001717531604865148 -0.0004934230584587744 0.00017809112633444837 -0.000282319071738086 -0.00013091016885958978 -9.365904601906796e-05 -6.69177146851552e-05 -8.018810519543697e-05 -0.00011549048245067713 -0.00011848067740914317
-0.7075667017559785 0.0004057607965856717 0.000440252085859293 -0.0002805066991773732 0.0005123431377608128 2.2889387257628394e-05 0.00022409416488087096 0.00021288715177510982 0.00024382198051160542 0.0001680590720401096 6.770221400398306e-06 -6.8913262215273124e-06
-0.5929491851957496 0.0001334623407689329 0.00024918931733770703 -0.0005660035753611825 0.00026431561425077106 -0.00019165829500058027 -8.868582467063063e-05 -0.00013764720832558721 1.6116410443681354e-05 9.611831113835488e-05 -4.384990114698083e-05 -5.570554020763333e-05
-0.49419906805049896 -0.00022539317649294355 -9.475919995458015e-05 -0.0008672402121076911 -6.723760391665263e-05 -0.0005820133614940158 -0.00047095669152609075 -0.0005228183056485638 -1.7058778162907197e-05 0.00022961923506140404 4.3812218642542724e-05 2.8073924313912912e-05
-0.41509236096438423 0.00013111774524918852 0.00014874667276255636 -0.0006584683985869533 4.98982712672095e-05 -0.00047066543515546407 -0.0005476273164647776 -0.0010415590202392632 -0.0005450452679974287 -0.0002786406154652268 -0.0006582695661441665 -0.0006904250373239274
-0.3523334616717867 -0.0006286397042251789 -0.0006220864365956203 -0.0013605913306123792 -0.0005488822754337183 -0.0010578583831471324 -0.0009448190230160352 -0.0014137084448712191 -0.0005012782602126133 0.00018302227753350068 -9.542994173934664e-05 -0.00011901550415695286
-0.2974316141700755 -0.0006495200308883075 -0.00059020425117573 -0.0013349924011130242 -0.0004908897053235148 -0.0009847052650177814 -0.0007235352202168028 -0.0015598325737284056 -0.0009774513649296035 8.944801741227164e-07 -0.00022445190716206486 -0.00024353927984661073
-0.24481141439167498 -0.0016643986870137364 -0.0018005261216172369 -0.0025356062661691637 -0.0017669759678986322 -0.002396767757817629 -0.00200439662873075 -0.0024719782256576793 -0.0013727933084599772 -0.0003322728874065445 -0.0009784965439905433 -0.0010332332181240717
-0.19775321906340687 -0.0017035459163828091 -0.001993553358579894 -0.002960043668684697 -0.0023395801064175535 -0.0031286656163705207 -0.003112583960759033 -0.003603659267481436 -0.002173115997857959 -0.0006254147752240472 -0.0013649840773284003 -0.0014276273487035715
-0.15800894661337514 -0.0013756031663092196 -0.0014604223552963421 -0.0022643900298503403 -0.0016154706776491047 -0.002382505238832257 -0.003061047552392156 -0.0045690995863492505 -0.0028409890036342153 -0.0007094195082756926 -0.001337906811141551 -0.001391141174110987
-0.12158162025875424 -0.0017766803404734902 -0.0018596623391526751 -0.0026355829607119584 -0.001913983778131787 -0.002645111591410887 -0.003062353182495522 -0.005000846611668625 -0.0036530543644807 -0.0013369299896708888 -0.0016975792568812496 -0.001728127103922537
-0.08640864811810588 -0.0019044208732412848 -0.002019246397698076 -0.002812067226611843 -0.00212814819444006 -0.0029165625539703953 -0.003507308310072959 -0.0058988367385486035 -0.004679707930814221 -0.0019665926674940683 -0.002073868452936421 -0.0020829549660195475
-0.05403437805297817 -0.0028296101874105985 -0.0030123004227840962 -0.003712068155575459 -0.0029446347699176433 -0.0036505593842725225 -0.0037653086619151097 -0.006530701499515075 -0.004957024458321452 -0.0022963562293146587 -0.002616502050330746 -0.002643619159556986
-0.025262698538619784 -0.002515591851205516 -0.0028549685927446154 -0.0038168541299590263 -0.0033374938834870574 -0.0043519990943002 -0.0049883317922159096 -0.007589683246604952 -0.00553500557001742 -0.0023442483973179656 -0.0025066662482242635 -0.002520423424842527
0.002425264677901354 -0.0035423847841607042 -0.0038609044880301567 -0.004609197130610965 -0.003933278946412914 -0.004832385593074239 -0.005416354802232873 -0.008745497973448035 -0.006526728978423124 -0.0028542360109386905 -0.0024157539063129644 -0.002378613433614775
0.029464946638236 -0.0037392828544981836 -0.004048092121923557 -0.004801535717932213 -0.004171803214582219 -0.005084421036991548 -0.005714717051805943 -0.009721063323306753 -0.007681859678760938 -0.004032706113480886 -0.002699984586861857 -0.002587099917335987
0.05472793208219808 -0.004270350139284139 -0.004593526405942286 -0.0053456961968230245 -0.004697956223658662 -0.005658772612324359 -0.006466200335487155 -0.00988837763495965 -0.007966027116348477 -0.004381701045528835 -0.003617127063173577 -0.0035523658361637546
0.07776749038205685 -0.0036550082707844877 -0.003969094261148377 -0.004826762793868428 -0.004354455062503322 -0.0054607643089023 -0.007150278190595417 -0.011437344317069017 -0.00891094672775817 -0.005332677090766674 -0.003778321232598029 -0.003646663610303821
0.0996115903925289 -0.004316783539729655 -0.00474706123090624 -0.005664930896016351 -0.005251181613142469 -0.006463432623377229 -0.008051233195642722 -0.012429105594923766 -0.00957903712984817 -0.005645861393759022 -0.004457219149683501 -0.004356538336605203
0.12103430247229906 -0.004759319767275268 -0.004990481543700379 -0.005767529608132871 -0.005248238228797419 -0.006371209858032 -0.008057739749377305 -0.014081707090579045 -0.011006213769559915 -0.006328713038446293 -0.004351933919360642 -0.004184496046461772
0.14132432727541744 -0.005782557470659934 -0.006249641462332418 -0.00693891720227615 -0.006310556297260916 -0.0073645352677147195 -0.008896495990349145 -0.014576058205381307 -0.010587526839589863 -0.006832029302494721 -0.0038306328409127757 -0.00357640745255177
0.1603184379840017 -0.0063157876131148 -0.006821227029547583 -0.007614703726933885 -0.007099927170117727 -0.00826717946609356 -0.009608822223954734 -0.015966978794744836 -0.011217099020802323 -0.007148069886287653 -0.002706397406960108 -0.0023301772289586074
0.17857410337992521 -0.006229731722839276 -0.00656637181148552 -0.00749291063460802 -0.007155237249914374 -0.008474374857973416 -0.009938038630092915 -0.017435708794752664 -0.01266308076373744 -0.008221131993591414 -0.004520984337113053 -0.004207573067724978
0.19639728443734303 -0.006906671464752968 -0.0070382872358288355 -0.007589551371248102 -0.007004112897803957 -0.00822357482560824 -0.010948349863724255 -0.01844440646942292 -0.012714550855804257 -0.007828356520143687 -0.003406343214955174 -0.00303178821556114
0.21365054846100043 -0.007369100383452119 -0.008013762668381299 -0.008881056746734336 -0.008448342960750364 -0.009667372972927293 -0.010644960758511764 -0.01942189769633482 -0.013444750042377527 -0.008797878870285285 -0.0032204731982213262 -0.002748053729091949
