logk z350 z325 z300 z275 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z000
-3.3010299956639813 -6.576970851630519e-24 -1.64424271290763e-23 -6.576970851630519e-24 0.0 -9.865456277445778e-24 6.576970851630519e-24 -1.9730912554891556e-23 9.865456277445778e-24 -9.865456277445778e-24 6.576970851630519e-24 -3.2884854258152597e-24 -9.865456277445778e-24 1.3153941703261039e-23 9.865456277445778e-24 -1.9730912554891556e-23
-3.191599403766738 -1.1133725233228507e-07 -1.1219197849948501e-07 -1.1774603009177875e-07 -1.1949586801289443e-07 -1.205675552727129e-07 -1.263969623727188e-07 -1.260117335177082e-07 -1.2891333535700997e-07 -1.2940069070117993e-07 -1.2790672867943083e-07 -1.2507453052017454e-07 -1.1114697079356895e-07 -1.0027220055802045e-07 -8.680972795805574e-08 -8.902352511449985e-08
-3.0821688118694945 -9.549559717937037e-08 -9.622870837128291e-08 -1.0099250002646218e-07 -1.0249336172139012e-07 -1.0341256363020358e-07 -1.0841253175008603e-07 -1.0808211530105978e-07 -1.1057086183123212e-07 -1.1098887367053238e-07 -1.0970748049402001e-07 -1.0727826251995593e-07 -9.53323899078484e-08 -8.60049396961909e-08 -7.445797914602695e-08 -7.635678549394782e-08
-2.9727382199722507 4.752496545874492e-08 4.78898103846071e-08 5.026059019595059e-08 5.100751887451385e-08 5.146497492752885e-08 5.395329186789929e-08 5.37888546499462e-08 5.502742057733458e-08 5.52354510919436e-08 5.4597744556233296e-08 5.338880400065672e-08 4.744374265716252e-08 4.280178258548939e-08 3.7055246436086974e-08 3.80002188616567e-08
-2.8633076280750074 3.177244355820597e-07 3.2016357776818396e-07 3.360132405754583e-07 3.410067737748163e-07 3.440650604004831e-07 3.6070050848123577e-07 3.596011763353085e-07 3.678815118686888e-07 3.6927228358624664e-07 3.6500894647132783e-07 3.569266690416622e-07 3.171814269014626e-07 2.861479662870194e-07 2.477299487882852e-07 2.540474879523129e-07
-2.753877036177764 3.267864044845504e-07 3.292951145986146e-07 3.45596833135287e-07 3.5073278925683296e-07 3.5387830272183875e-07 3.7098821828543047e-07 3.6985753156741265e-07 3.783740344669219e-07 3.7980447304243336e-07 3.7541953927321517e-07 3.6710674338627376e-07 3.262279083965451e-07 2.943093277739125e-07 2.5479557182739037e-07 2.612932965139426e-07
-2.6444464442805207 -5.462872939732915e-07 -5.504810928607868e-07 -5.7773259899538e-07 -5.863183526653658e-07 -5.9157669271677e-07 -6.201792580165334e-07 -6.182890943529343e-07 -6.325260921571235e-07 -6.349173495897753e-07 -6.275870764506028e-07 -6.136906147003321e-07 -5.453536586921906e-07 -4.919955177275684e-07 -4.2594055792961127e-07 -4.368027736989666e-07
-2.5350158523832773 -4.0673594857560105e-07 -4.098584242170061e-07 -4.301484205615119e-07 -4.3654090799756237e-07 -4.4045598336602745e-07 -4.6175190523212376e-07 -4.6034459168271336e-07 -4.709446895993997e-07 -4.7272509044504625e-07 -4.672673658531145e-07 -4.569208126489703e-07 -4.0604081428294653e-07 -3.6631323079546613e-07 -3.1713228328314893e-07 -3.2521970117355056e-07
-2.425585260486034 6.380747661822539e-06 6.4297320931661784e-06 6.748035275333824e-06 6.848318639525387e-06 6.909737130048988e-06 7.243820960429124e-06 7.221743461080278e-06 7.388034516084939e-06 7.4159648934532815e-06 7.330345799417424e-06 7.168032275381878e-06 6.369842610208485e-06 5.746608577575374e-06 4.9750730962774955e-06 5.101946004794948e-06
-2.3161546685887906 2.0187263896763723e-05 2.0342239723230506e-05 2.1349280069935354e-05 2.1666554289930465e-05 2.1860868709188762e-05 2.2917835510724857e-05 2.2847987221910292e-05 2.337409506835216e-05 2.346246055913068e-05 2.3191580822537254e-05 2.2678056997841223e-05 2.0152762743229958e-05 1.818098912781399e-05 1.5740022772120786e-05 1.6141420385901383e-05
-2.206724076691547 4.101281275624803e-05 4.132766446597607e-05 4.337358596324317e-05 4.401816604321776e-05 4.441293875405339e-05 4.656029174565518e-05 4.641838669080742e-05 4.7487236967202365e-05 4.7666761906587253e-05 4.711643770350648e-05 4.607315335472917e-05 4.094271958478156e-05 3.6936828419920465e-05 3.1977716744246794e-05 3.279320344214582e-05
-2.097293484794304 6.885739424027519e-05 6.938600632140256e-05 7.282095295525697e-05 7.390315389938697e-05 7.456594726464257e-05 7.817118966521975e-05 7.793294186777136e-05 7.972746021263522e-05 8.002886893582267e-05 7.910491644232476e-05 7.73533213460454e-05 6.8739713134863e-05 6.201412645389454e-05 5.368815501265529e-05 5.505729517352804e-05
-1.98786289289706 0.00010372100834884563 0.00010451726528951048 0.00010969138104597725 0.00011132151785843859 0.00011231989424095676 0.0001177505292694191 0.0001173916527528026 0.00012009476480465126 0.00012054878164683745 0.00011915701703899262 0.00011651856097179041 0.00010354374339347474 9.341288322973663e-05 8.087133757734664e-05 8.29336955800484e-05
-1.8784323009998167 0.000145603655081959 0.0001467214413702994 0.00015398487023540356 0.0001562732579203722 0.0001576747796829956 0.00016529831055825284 0.00016479451934590074 0.00016858915074325002 0.00016922650003963117 0.00016727273949350966 0.00016356887223196377 0.00014535481036061638 0.00013113309874744638 0.00011352726443832054 0.00011642240466170659
-1.7690017091025734 0.0001897644555622522 0.00019125034147580208 0.00020073660518931486 0.000203738541980012 0.0002056106210473936 0.00021555340111403446 0.00021492589341335453 0.00021988446343249385 0.00022076018770381538 0.00021816979729922061 0.0002133330802372718 0.00018978419535685566 0.00017143300162689314 0.00014858077552324004 0.00015043758594809878
-1.6595711172053298 0.00022805458329700217 0.00022994256713356625 0.00024141284780270365 0.00024508906674047424 0.00024749885645763725 0.0002594727402857792 0.0002588208944756126 0.00026482587930518465 0.0002660368202153011 0.0002627687692473038 0.0002569227472050941 0.00022928837998208558 0.00020788107430754383 0.00018074615345457917 0.00017623748500091387
-1.5501405253080864 0.00026033331109247986 0.0002626571740364627 0.0002758662236018823 0.0002801758246224837 0.00028319047386887757 0.0002969001577894257 0.00029632470239101025 0.0003032552979733896 0.00030489901904176444 0.0003009128571204279 0.00029418437313062613 0.0002637370904875352 0.00024036624688031125 0.00020993211586498747 0.00019367113498198563
