logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 0.0 0.0 0.0 0.0 0.0 0.0 -5.981720143272941e-36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-3.191599403766738 0.0 -5.63400090851923e-20 0.0 -5.63400090851923e-20 0.0 0.0 1.126800181703846e-19 0.0 0.0 0.0 -5.63400090851923e-20 0.0 0.0 0.0 0.0
-3.0821688118694945 0.0 -4.8323653583837e-20 0.0 -4.8323653583837e-20 0.0 0.0 9.6647307167674e-20 0.0 0.0 0.0 -4.8323653583837e-20 0.0 0.0 0.0 0.0
-2.9727382199722507 0.0 2.4049066504066305e-20 0.0 2.4049066504066305e-20 0.0 0.0 -4.809813300813256e-20 0.0 0.0 0.0 2.4049066504066305e-20 0.0 0.0 0.0 0.0
-2.8633076280750074 0.0 1.6077815117851697e-19 0.0 1.6077815117851697e-19 0.0 0.0 -3.2155630235703394e-19 0.0 0.0 0.0 1.6077815117851697e-19 0.0 0.0 0.0 0.0
-2.753877036177764 0.0 1.6536378087209293e-19 0.0 1.6536378087209293e-19 0.0 0.0 -3.307275617441857e-19 0.0 0.0 0.0 1.6536378087209293e-19 0.0 0.0 0.0 0.0
-2.6444464442805207 0.0 -2.7643785400527072e-19 0.0 -2.7643785400527072e-19 0.0 0.0 5.5287570801054145e-19 0.0 0.0 0.0 -2.7643785400527072e-19 0.0 0.0 0.0 0.0
-2.5350158523832773 0.0 -1.1687340409884673e-18 0.0 -1.1687340409884673e-18 0.0 0.0 2.337468081976934e-18 0.0 0.0 0.0 -1.1687340409884673e-18 0.0 0.0 0.0 0.0
-2.425585260486034 0.0 -2.5115247800774967e-18 0.0 -2.5115247800774967e-18 0.0 0.0 5.023049560154993e-18 0.0 0.0 0.0 -2.5115247800774967e-18 0.0 0.0 0.0 0.0
-2.3161546685887906 0.0 -4.304810071272359e-18 0.0 -4.304810071272359e-18 0.0 0.0 8.609620142544718e-18 0.0 0.0 0.0 -4.304810071272359e-18 0.0 0.0 0.0 0.0
-2.206724076691547 0.0 -6.548589914573063e-18 0.0 -6.548589914573063e-18 0.0 0.0 1.3097179829146125e-17 0.0 0.0 0.0 -6.548589914573063e-18 0.0 0.0 0.0 0.0
-2.097293484794304 0.0 -9.242864309979581e-18 0.0 -9.242864309979581e-18 0.0 0.0 1.8485728619959162e-17 0.0 0.0 0.0 -9.242864309979581e-18 0.0 0.0 0.0 0.0
-1.98786289289706 0.0 -1.2387633257491958e-17 0.0 -1.2387633257491958e-17 0.0 0.0 2.4775266514983913e-17 0.0 0.0 0.0 -1.2387633257491958e-17 0.0 0.0 0.0 0.0
-1.8784323009998167 0.0 -1.5982896757110154e-17 0.0 -1.5982896757110154e-17 0.0 0.0 3.196579351422031e-17 0.0 0.0 0.0 -1.5982896757110154e-17 0.0 0.0 0.0 0.0
-1.7690017091025734 0.0 -2.0028654808834182e-17 0.0 -2.0028654808834182e-17 0.0 0.0 4.005730961766836e-17 0.0 0.0 0.0 -2.0028654808834182e-17 0.0 0.0 0.0 0.0
-1.6595711172053298 0.0 -2.4524907412664053e-17 0.0 -2.4524907412664053e-17 0.0 0.0 4.90498148253281e-17 0.0 0.0 0.0 -2.4524907412664053e-17 0.0 0.0 0.0 0.0
-1.5501405253080864 0.0 -2.9471654568599746e-17 0.0 -2.9471654568599746e-17 0.0 0.0 5.894330913719949e-17 0.0 0.0 0.0 -2.9471654568599746e-17 0.0 0.0 0.0 0.0
-1.440709933410843 0.0 -3.486889627664129e-17 0.0 -3.486889627664129e-17 0.0 0.0 6.973779255328257e-17 0.0 0.0 0.0 -3.486889627664129e-17 0.0 0.0 0.0 0.0
-1.3312793415135995 0.0 -4.071663253678865e-17 0.0 -4.071663253678865e-17 0.0 0.0 8.14332650735773e-17 0.0 0.0 0.0 -4.071663253678865e-17 0.0 0.0 0.0 0.0
-1.2218487496163564 0.0 -4.701486334904184e-17 0.0 -4.701486334904184e-17 0.0 0.0 9.402972669808366e-17 0.0 0.0 0.0 -4.701486334904184e-17 0.0 0.0 0.0 0.0
-1.2018201321381388 0.0 -4.8216373327664354e-17 0.0 -4.8216373327664354e-17 0.0 0.0 9.64327466553287e-17 0.0 0.0 0.0 -4.8216373327664354e-17 0.0 0.0 0.0 0.0
