logk z300 z275 z250 z225 z200 z175 z150 z125 z100 z075 z050 z0375 z025 z0125 z000
-3.3010299956639813 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-3.191599403766738 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.63400090851923e-20 0.0 0.0 0.0 0.0
-3.0821688118694945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.8323653583837e-20 0.0 0.0 0.0 0.0
-2.9727382199722507 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.4049066504066305e-20 0.0 0.0 0.0 0.0
-2.8633076280750074 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6077815117851697e-19 0.0 0.0 0.0 0.0
-2.753877036177764 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6536378087209293e-19 0.0 0.0 0.0 0.0
-2.6444464442805207 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.7643785400527072e-19 0.0 0.0 0.0 0.0
-2.5350158523832773 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.1687340409884673e-18 0.0 0.0 0.0 0.0
-2.425585260486034 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.5115247800774967e-18 0.0 0.0 0.0 0.0
-2.3161546685887906 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.304810071272359e-18 0.0 0.0 0.0 0.0
-2.206724076691547 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.548589914573063e-18 0.0 0.0 0.0 0.0
-2.097293484794304 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -9.242864309979581e-18 0.0 0.0 0.0 0.0
-1.98786289289706 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.2387633257491958e-17 0.0 0.0 0.0 0.0
-1.8784323009998167 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.5982896757110154e-17 0.0 0.0 0.0 0.0
-1.7690017091025734 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0028654808834182e-17 0.0 0.0 0.0 0.0
-1.6595711172053298 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.4524907412664053e-17 0.0 0.0 0.0 0.0
-1.5501405253080864 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.9471654568599746e-17 0.0 0.0 0.0 0.0
-1.440709933410843 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -3.486889627664129e-17 0.0 0.0 0.0 0.0
-1.3312793415135995 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.071663253678865e-17 0.0 0.0 0.0 0.0
-1.2218487496163564 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.701486334904184e-17 0.0 0.0 0.0 0.0
-1.2018201321381388 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.8216373327664354e-17 0.0 0.0 0.0 0.0
-0.900790122650135 -0.0046224851084784154 -0.004617268009915706 -0.004615112179844028 -0.004616357468413891 -0.004623318233337647 -0.004633832392338375 -0.0046475854022679855 -0.004661649179975743 -0.004671615688918668 -0.0046736437284298615 -0.004662895932952137 -0.004650495597596447 -0.004635988294628724 -0.004619613979128708 -0.004596021485073674
-0.7246988751144725 -0.007031989091235577 -0.007016843858250845 -0.007010349982812703 -0.007015279522251571 -0.007037969990735492 -0.007072155020036402 -0.007114942337398212 -0.007151476171688988 -0.007165884786418071 -0.007138322719599996 -0.007028401027366835 -0.006937514927158656 -0.0068156272670455145 -0.006694760559968473 -0.00656210237848806
-0.5997601442661822 -0.008289547906867253 -0.008275320031834303 -0.008282681482710339 -0.00830482517870756 -0.008354342062390205 -0.008412935957100317 -0.008478526538169065 -0.00852291355155387 -0.008512348836084541 -0.008402843580385214 -0.008149373446982388 -0.007959077186497337 -0.007739357088193194 -0.0075049185902620625 -0.007243718916957258
-0.5028501208901087 -0.009502768172202452 -0.009510534522711634 -0.009559078149121335 -0.009643786748858036 -0.009787442641817681 -0.009961723663380136 -0.01016020272542235 -0.01035141936697289 -0.01046507915276534 -0.010435732554296705 -0.010212292912890704 -0.010019760153467023 -0.009747630154218954 -0.009442395517072731 -0.009102949593386324
-0.42366887945049136 -0.010224570832361448 -0.010279870801923807 -0.01040362712060238 -0.010588050740227044 -0.01085733983179256 -0.011188038879937174 -0.011576119817111688 -0.011955961039547498 -0.012215016512267734 -0.012226926178543238 -0.011932638685551457 -0.011650444068880163 -0.01125596825841508 -0.010843964946271394 -0.010411328214756314
-0.3567220931113122 -0.01111710754911223 -0.011238979673482027 -0.011463722538448025 -0.011783325442503994 -0.012225285993698083 -0.012743192339018342 -0.01334462395359635 -0.013914088099531851 -0.014314382863197691 -0.01456374200109958 -0.014490984563259824 -0.014259314612112807 -0.013880261661018457 -0.01339517480054027 -0.012822703773781611
-0.29873014860220093 -0.011503533785017598 -0.011693084259463651 -0.012020016609287035 -0.01246370670024109 -0.013067001742761528 -0.013763577135887304 -0.014581783879252743 -0.015401481958309276 -0.01602299331601768 -0.016334996127018466 -0.0162641044403543 -0.016042266862075886 -0.015548474666946404 -0.014946650248917222 -0.014327639591958647
-0.24757762039481007 -0.01220445335746041 -0.01247985137682968 -0.012940063087063053 -0.013555768214024924 -0.014392468557233784 -0.015366678072190006 -0.016484857304908326 -0.017655467622635816 -0.01855983666318857 -0.01900875704238794 -0.018958693790907723 -0.01866777596132035 -0.018012939861098424 -0.017115955377166585 -0.01617326380738436
-0.20182013213813874 -0.012862867945752185 -0.013252767497200712 -0.013877837615170604 -0.014707123004408218 -0.015806478598263576 -0.017023713937560248 -0.018336015160766474 -0.019654914588982667 -0.020684436505588516 -0.021342313421454935 -0.0214193684031887 -0.021158300089038854 -0.02048056418739554 -0.019407973883556005 -0.018287534319780464
-0.1604274488650078 -0.013507336788799385 -0.014054673659161576 -0.014906342415264142 -0.016001493782332264 -0.017453800596666465 -0.019102543121288392 -0.02089717073976771 -0.022666341849421744 -0.023858952287972877 -0.02422503945401463 -0.02394338039349378 -0.02354846301380965 -0.022862559550416044 -0.021764168107493837 -0.020389336546150303
-0.12263888378651014 -0.013921958306239973 -0.014547736834371185 -0.015481933056272254 -0.016686687670231765 -0.01826448549393271 -0.02003462985400996 -0.0219033711492647 -0.023709515669956216 -0.02509221103234629 -0.02594722033841439 -0.02606097752821811 -0.025675289466359177 -0.02482216052937164 -0.023623342524141874 -0.02225098532701856
-0.0878767792996088 -0.014644456144445636 -0.015440134731034777 -0.016640506890633452 -0.018167416178574498 -0.02014001250102154 -0.022276409303691666 -0.024515347654066846 -0.02665543082698632 -0.028128288102236942 -0.028765912832973375 -0.028688226693842595 -0.028201100332428338 -0.027120264541237196 -0.025608068021060054 -0.02388819703587233
-0.055692097447330974 -0.014962504889055353 -0.015837496256270407 -0.017142098675595466 -0.018801634918561447 -0.02097477678789876 -0.023423943864217367 -0.026041169547733112 -0.02852974766915729 -0.030191626340023356 -0.030792989061393827 -0.030606480283189474 -0.030043779584020117 -0.028826735877694555 -0.027009973781549977 -0.025106141921745092
-0.025728870778453743 -0.015695090780985986 -0.016784405722096156 -0.018379326815586836 -0.020347179830510254 -0.02280980240436585 -0.025501083036832548 -0.028407007580196136 -0.031276725301991985 -0.03339265295003289 -0.03397258719643834 -0.033481609086285335 -0.03270596865292483 -0.03125790659117615 -0.029127230177486585 -0.02673793376504881
0.002299829781751376 -0.01658229389482491 -0.0179296750761066 -0.019856076380743756 -0.022128412416259718 -0.02488081450933209 -0.0277839604991479 -0.0308258788389724 -0.03377149512833751 -0.03594593809711796 -0.03668981686340095 -0.03601704517332859 -0.035233037264580484 -0.033904978283123194 -0.03176661088976014 -0.02916046017691634
0.028628788833546272 -0.01704099850599847 -0.018547338446650505 -0.020698817033442066 -0.023230294073643652 -0.02630113427579754 -0.029464046089757882 -0.03280954676390377 -0.03610758766645642 -0.03854941671902782 -0.03953054155122467 -0.03901789682189696 -0.03797040796059664 -0.03602107312040191 -0.03357819911358928 -0.03103405318719129
0.053452390629195976 -0.017744519575613394 -0.019483417615384257 -0.0219567442675223 -0.024909255840751432 -0.02850160708633335 -0.03208553748392222 -0.03569202349342137 -0.03912636818437415 -0.041403372761097186 -0.04157055853552032 -0.040104042283726105 -0.03905217153235963 -0.037193491775953665 -0.03471681696973721 -0.031956899730435875
0.07693346626815963 -0.018429697480626967 -0.02039586369503471 -0.023104132016214533 -0.026273031511036042 -0.030111619107106056 -0.03395959441858557 -0.037916212388743965 -0.04164326242820537 -0.043830592814056456 -0.044096081014177925 -0.04303546525747807 -0.04206826621751746 -0.0399733164487177 -0.03687399677775546 -0.03336767047467308
0.09920987734986494 -0.018959157485429232 -0.021066564925779543 -0.02404605956813152 -0.02762555184941546 -0.03200228436672968 -0.0363021930011605 -0.04043322484571776 -0.04437417836937426 -0.04711030667274876 -0.04787972346657256 -0.046137605900016 -0.04487494381570334 -0.04213741812353827 -0.03875193799152694 -0.03518637398242892
