40
a2029            0.0779  2.38528e-06  0.8  1.2  0.851492285664958   0.0265973113086078  16624.7151475724  0.0219324267115417  -0.934744299523415   305.889500693303  0.0039412392594376
a478             0.0882  2.38528e-06  0.8  1.2  0.695837574248691   0.0662246770364121  13066.8849216382  0.0438776270638469  -0.93246684640501    342.099485440536  0.00398107897667507
pks0745          0.1028  2.38528e-06  0.8  1.2  0.519114937201893   0.0326958823398655  15201.0230071331  0.0287730882291939  -0.946859598955615   391.89469843484   0.00403885701380797
rxj1524          0.1028  2.38528e-06  0.8  1.2  0.549604732404662   0.0706301364349735  5171.33318522023  0.0510177139777414  -0.860435716050744   391.89469843484   0.00403885701380797
a2204            0.1524  2.38528e-06  0.8  1.2  0.330502013911987   0.0616662814666373  12015.227316625   0.0539849332376371  -0.912242572456972   548.54545249811   0.00424684610954941
rxj0439          0.208   2.38528e-06  0.8  1.2  0.18352233088903    0.132392712581907   3466.85493815624  0.0933658759048518  -0.849322185370766   703.523548217642  0.00450226032450897
z2701            0.214   2.38528e-06  0.8  1.2  0.173811366570778   0.0593951511294113  3241.96583826248  0.0452362091709452  -0.842508550234368   719.069231059592  0.00453127509643585
rxj1504          0.2153  2.38528e-06  0.8  1.2  0.171043501458816   0.0682202135676786  9782.00813565819  0.0683738669202366  -0.947550625268291   722.408842109621  0.00453759957083293
z2089            0.2347  2.38528e-06  0.8  1.2  0.179763616166499   0.0936388589820406  2283.6857826574   0.0669037683315242  -0.886775328800491   771.062533544079  0.00463359746803534
rxj2129          0.235   2.38528e-06  0.8  1.2  0.197626141567403   0.117467781592211   4712.71279356529  0.0747191158860113  -0.626238906521988   771.797803145041  0.00463510590930223
rxj1459.4-1811   0.2357  2.38528e-06  0.8  1.2  0.182651434895414   0.077484822565417   4819.04428008553  0.0879985553084268  -0.0503410173244012  773.511441211539  0.00463862845654832
a1835            0.2523  2.38528e-06  0.8  1.2  0.154439984115351   0.0542234755165013  7782.2916178856   0.0390614850509943  -0.870449766973391   813.344417228511  0.00472333832924173
a3444            0.2533  2.38528e-06  0.8  1.2  0.181258305151398   0.0884213695163789  4550.98201680458  0.0693644441224294  -0.708932923043949   815.695435305877  0.00472851370930517
ms2137           0.313   2.38528e-06  0.8  1.2  0.133655041106298   0.0798263136176209  2563.78472165807  0.0617757878261845  -0.883275455818723   946.674302948246  0.00505269374001059
macs0242         0.314   2.38528e-06  0.8  1.2  0.120731728263786   0.22840369863234    3624.99398231555  0.187072842157658   -0.807547324396005   948.718997233747  0.00505838277901383
macs1427-25      0.318   2.38528e-06  0.8  1.2  0.124918180321802   0.183699459079342   2136.06587282151  0.115353346000533   -0.792627232821803   956.851160042058  0.00508122565806505
macs2229         0.324   2.38528e-06  0.8  1.2  0.123823819651276   0.118146545414171   2574.90008574558  0.0904768592082596  -0.805987188011929   968.910799235819  0.00511575087119649
macs0947         0.345   2.38528e-06  0.8  1.2  0.0897901690521934  0.102906514130928   5138.85613203066  0.0927753678913283  -0.932326914915779   1009.84190429916  0.00523907389048019
macs1931         0.352   2.38528e-06  0.8  1.2  0.0943422295348485  0.0951579506244454  4521.05438405237  0.0696185694996629  -0.896536124848261   1023.05581488625  0.00528104782230749
macs1115         0.3551  2.38528e-06  0.8  1.2  0.120616510242091   0.116710795986342   4061.75461221878  0.0762831206669505  -0.774861902254901   1028.84071810207  0.00529977572853258
macs1532         0.363   2.38528e-06  0.8  1.2  0.0873918507209741  0.0600456703181919  4279.74682342207  0.0580030713774077  -0.947892120907557   1043.39964345297  0.00534789044379008
macs0150.3-1005  0.3634  2.38528e-06  0.8  1.2  0.122774443971989   0.139885261503614   1830.18820251283  0.111897648465359   -0.723243040754349   1044.12986607373  0.00535034152604213
macs0011         0.378   2.38528e-06  0.8  1.2  0.106105660629485   0.158274140205365   3201.05327198363  0.0964210017629879  -0.757407404113715   1070.33348575338  0.00544079401534393
macs1720         0.391   2.38528e-06  0.8  1.2  0.0974518837893155  0.122125539660823   3338.51827270016  0.107677521301897   -0.660566119145863   1092.94495253898  0.00552296362035135
macs0429         0.399   2.38528e-06  0.8  1.2  0.0681044951979387  0.212483098855584   3625.4497996285   0.194626502970373   -0.896290925431891   1106.53157049925  0.00557429918325107
macs0159         0.404   2.38528e-06  0.8  1.2  0.0759934686979165  0.104353781634312   5330.81851621851  0.0930077024633966  -0.824783945372755   1114.89878623594  0.00560668354970164
macs2046         0.423   2.38528e-06  0.8  1.2  0.111970347244272   0.139609430908993   1708.04411362028  0.104500789136048   -0.840768571143675   1145.84254338455  0.00573186226833797
i09104           0.4418  2.38528e-06  0.8  1.2  0.0617043431150409  0.126997851453162   3089.38046951433  0.125139745299117   -0.91678778688882    1175.17594965748  0.00585905767971378
macs1359         0.447   2.38528e-06  0.8  1.2  0.06018429452375    0.212657684669097   2302.98154841692  0.170165534520477   -0.873120120748887   1183.07111411049  0.00589483085645569
rxj1347          0.451   2.38528e-06  0.8  1.2  0.0719274210673056  0.109641050720143   11353.7762944068  0.0971409442868992  -0.89275802557395    1189.08128872095  0.00592252422428275
3c295            0.4605  2.38528e-06  0.8  1.2  0.0698584612078301  0.179099923556923   2016.62810940983  0.130072189012963   -0.890949947023491   1203.13885788195  0.00598891037386003
macs1621         0.461   2.38528e-06  0.8  1.2  0.0738202499895419  0.164421796999903   2910.03378122777  0.0946595423468951  -0.800044979635605   1203.87037390823  0.005992428411928
macs1427+44      0.487   2.38528e-06  0.8  1.2  0.0824645600270249  0.114976140497334   2492.71468751702  0.129088557292068   -0.644294848109242   1240.78817032586  0.00617870501574942
