     2    0.10790E+04    0.32601E+01    0.46181E-01    0.19185E-05    0.52571E-07
     3    0.10198E+04    0.39625E+01    0.72223E-01    0.38374E-05    0.63931E-07
     4    0.96121E+03    0.39888E+01    0.77493E-01    0.63969E-05    0.73620E-07
     5    0.91582E+03    0.36310E+01    0.65137E-01    0.95976E-05    0.82017E-07
     6    0.88330E+03    0.31077E+01    0.45281E-01    0.13440E-04    0.89342E-07
     7    0.86136E+03    0.25550E+01    0.27151E-01    0.17926E-04    0.95789E-07
     8    0.84728E+03    0.20533E+01    0.15243E-01    0.23056E-04    0.10149E-06
     9    0.83928E+03    0.16404E+01    0.94988E-02    0.28832E-04    0.10657E-06
    10    0.83600E+03    0.13330E+01    0.75409E-02    0.35255E-04    0.11108E-06
    11    0.83596E+03    0.11340E+01    0.69230E-02    0.42326E-04    0.11514E-06
    12    0.83947E+03    0.10359E+01    0.63614E-02    0.50048E-04    0.11877E-06
    13    0.84482E+03    0.10128E+01    0.54792E-02    0.58422E-04    0.12201E-06
    14    0.85108E+03    0.10355E+01    0.47780E-02    0.67450E-04    0.12492E-06
    15    0.85861E+03    0.10868E+01    0.44484E-02    0.77133E-04    0.12753E-06
    16    0.86787E+03    0.11537E+01    0.45156E-02    0.87474E-04    0.12987E-06
    17    0.87879E+03    0.12246E+01    0.48756E-02    0.98475E-04    0.13197E-06
    18    0.89044E+03    0.12911E+01    0.52439E-02    0.11014E-03    0.13386E-06
    19    0.90362E+03    0.13500E+01    0.55912E-02    0.12246E-03    0.13554E-06
    20    0.91666E+03    0.13979E+01    0.60145E-02    0.13546E-03    0.13703E-06
    21    0.92993E+03    0.14415E+01    0.65925E-02    0.14912E-03    0.13835E-06
    22    0.94371E+03    0.14871E+01    0.74546E-02    0.16345E-03    0.13952E-06
    23    0.95783E+03    0.15358E+01    0.85918E-02    0.17845E-03    0.14055E-06
    24    0.97233E+03    0.15878E+01    0.99356E-02    0.19412E-03    0.14145E-06
    25    0.98718E+03    0.16434E+01    0.11488E-01    0.21047E-03    0.14223E-06
    26    0.10022E+04    0.17035E+01    0.13228E-01    0.22750E-03    0.14290E-06
    27    0.10176E+04    0.17638E+01    0.15136E-01    0.24520E-03    0.14347E-06
    28    0.10333E+04    0.18206E+01    0.17220E-01    0.26359E-03    0.14395E-06
    29    0.10493E+04    0.18716E+01    0.19481E-01    0.28265E-03    0.14433E-06
    30    0.10655E+04    0.19138E+01    0.21923E-01    0.30240E-03    0.14463E-06
    31    0.10818E+04    0.19460E+01    0.24532E-01    0.32283E-03    0.14485E-06
    32    0.10984E+04    0.19672E+01    0.27286E-01    0.34395E-03    0.14500E-06
    33    0.11154E+04    0.19747E+01    0.30214E-01    0.36574E-03    0.14509E-06
    34    0.11326E+04    0.19679E+01    0.33367E-01    0.38823E-03    0.14512E-06
    35    0.11499E+04    0.19525E+01    0.36778E-01    0.41140E-03    0.14509E-06
    36    0.11673E+04    0.19328E+01    0.40469E-01    0.43525E-03    0.14501E-06
    37    0.11847E+04    0.19051E+01    0.44409E-01    0.45979E-03    0.14488E-06
    38    0.12026E+04    0.18669E+01    0.48568E-01    0.48502E-03    0.14471E-06
    39    0.12208E+04    0.18191E+01    0.52964E-01    0.51093E-03    0.14450E-06
    40    0.12391E+04    0.17636E+01    0.57630E-01    0.53753E-03    0.14424E-06
    41    0.12576E+04    0.17011E+01    0.62596E-01    0.56481E-03    0.14395E-06
    42    0.12762E+04    0.16297E+01    0.67860E-01    0.59277E-03    0.14362E-06
    43    0.12948E+04    0.15466E+01    0.73412E-01    0.62142E-03    0.14326E-06
    44    0.13135E+04    0.14500E+01    0.79225E-01    0.65076E-03    0.14287E-06
    45    0.13325E+04    0.13381E+01    0.85285E-01    0.68077E-03    0.14245E-06
    46    0.13517E+04    0.12078E+01    0.91584E-01    0.71146E-03    0.14201E-06
    47    0.13712E+04    0.10612E+01    0.98131E-01    0.74284E-03    0.14154E-06
    48    0.13907E+04    0.90390E+00    0.10495E+00    0.77489E-03    0.14105E-06
    49    0.14103E+04    0.74126E+00    0.11203E+00    0.80762E-03    0.14054E-06
    50    0.14304E+04    0.57165E+00    0.11938E+00    0.84102E-03    0.14001E-06
    51    0.14506E+04    0.39167E+00    0.12697E+00    0.87511E-03    0.13946E-06
    52    0.14711E+04    0.19613E+00    0.13488E+00    0.90986E-03    0.13890E-06
    53    0.14917E+04   -0.18706E-01    0.14325E+00    0.94529E-03    0.13832E-06
    54    0.15122E+04   -0.24864E+00    0.15205E+00    0.98139E-03    0.13773E-06
    55    0.15328E+04   -0.48933E+00    0.16126E+00    0.10182E-02    0.13713E-06
    56    0.15538E+04   -0.74260E+00    0.17072E+00    0.10556E-02    0.13651E-06
    57    0.15750E+04   -0.10085E+01    0.18032E+00    0.10937E-02    0.13589E-06
    58    0.15966E+04   -0.12878E+01    0.19008E+00    0.11325E-02    0.13525E-06
    59    0.16183E+04   -0.15813E+01    0.20005E+00    0.11719E-02    0.13460E-06
    60    0.16402E+04   -0.18885E+01    0.21027E+00    0.12120E-02    0.13394E-06
    61    0.16625E+04   -0.22086E+01    0.22085E+00    0.12528E-02    0.13328E-06
    62    0.16848E+04   -0.25423E+01    0.23177E+00    0.12943E-02    0.13260E-06
    63    0.17071E+04   -0.28904E+01    0.24299E+00    0.13364E-02    0.13192E-06
    64    0.17299E+04   -0.32539E+01    0.25453E+00    0.13791E-02    0.13124E-06
    65    0.17526E+04   -0.36331E+01    0.26636E+00    0.14226E-02    0.13055E-06
    66    0.17757E+04   -0.40260E+01    0.27841E+00    0.14667E-02    0.12985E-06
