z,M500,f_b
1.0,9999999999999.754,0.440034050472431
1.0,12589254117941.354,0.4504839231233208
1.0,15848931924610.72,0.4649731270778058
1.0,19952623149688.258,0.4877590288326273
1.0,25118864315095.1,0.5176684962738672
1.0,31622776601682.887,0.5409801061205448
1.0,39810717055348.555,0.5760042713579215
1.0,50118723362725.71,0.6056184380215001
1.0,63095734448017.37,0.6429810321149209
1.0,79432823472425.61,0.6843165787587074
1.0,99999999999996.72,0.6967431981470481
1.0,125892541179412.5,0.7434940320226964
1.0,158489319246105.9,0.783733387435818
1.0,199526231496880.97,0.7922624311829425
1.0,251188643150948.97,0.8351114721322929
1.0,316227766016826.3,0.8268730561623342
1.0,398107170553482.25,0.8340927629832945
1.0,501187233627253.0,0.862082928402618
1.0,630957344480168.5,0.9106597285726298
1.0,999999999999959.2,0.9125701228422372
1.25,99999999999.99918,0.8987346886988202
1.25,125892541179.4156,0.8656525237255591
1.25,158489319246.1098,0.862886675659804
1.25,199526231496.88583,0.8742538230729037
1.25,251188643150.9551,0.8914879191057036
1.25,316227766016.83405,0.904821082980134
1.25,398107170553.49207,0.922617023862474
1.25,501187233627.2653,0.9337193936956704
1.25,630957344480.184,0.8843353910254917
1.25,794328234724.2692,0.7126162906672623
1.25,999999999999.9836,0.6683716398932238
1.25,1258925411794.1455,0.6434215070102763
1.25,1584893192461.085,0.6109730565741159
1.25,1995262314968.842,0.5753276365515992
1.25,2511886431509.531,0.5393734595897945
1.25,3162277660168.3145,0.5079604792706228
1.25,3981071705534.888,0.4859489932451687
1.25,5011872336272.612,0.4681446240441008
1.25,6309573444801.788,0.4628338485227776
1.25,7943282347242.627,0.4638358042549025
1.25,9999999999999.754,0.4675752552822919
1.25,12589254117941.354,0.4786979039602693
1.25,15848931924610.72,0.4952858775285864
1.25,19952623149688.258,0.5192576941131157
1.25,25118864315095.1,0.5431735952617744
1.25,31622776601682.887,0.567200456646328
1.25,39810717055348.555,0.5944769878776357
1.25,50118723362725.71,0.6255497096158019
1.25,63095734448017.37,0.6683453542568325
1.25,79432823472425.61,0.6867006797522027
1.25,99999999999996.72,0.7339121767210908
1.25,125892541179412.5,0.7693866879316151
1.25,158489319246105.9,0.8139850600128232
1.25,199526231496880.97,0.8264202211693159
1.25,251188643150948.97,0.8863560030660596
1.25,316227766016826.3,0.8722301084308326
1.25,398107170553482.25,0.8976850063581009
1.25,501187233627253.0,0.9135134522488914
1.5,99999999999.99918,0.9459498835806304
1.5,125892541179.4156,0.9059336911701472
1.5,158489319246.1098,0.8956678818607273
1.5,199526231496.88583,0.8992576625688766
1.5,251188643150.9551,0.9131216186630966
1.5,316227766016.83405,0.9261975773417988
1.5,398107170553.49207,0.9403314364872092
1.5,501187233627.2653,0.9502326481648654
1.5,630957344480.184,0.911815016291272
1.5,794328234724.2692,0.747970656175556
1.5,999999999999.9836,0.69409415048472
1.5,1258925411794.1455,0.6675554800531152
1.5,1584893192461.085,0.6358217879269558
1.5,1995262314968.842,0.6011476394026691
1.5,2511886431509.531,0.5621002909058725
1.5,3162277660168.3145,0.5337897527724998
1.5,3981071705534.888,0.512955609745981
1.5,5011872336272.612,0.4978303447706957
1.5,6309573444801.788,0.4935664660262145
1.5,7943282347242.627,0.4917319485498725
1.5,9999999999999.754,0.4985363582831649
1.5,12589254117941.354,0.5078729016437005
1.5,15848931924610.72,0.5262459030267065
1.5,19952623149688.258,0.5512875192801644
1.5,25118864315095.1,0.570076035534398
1.5,31622776601682.887,0.5895697754123276
1.5,39810717055348.555,0.6216189530298105
1.5,50118723362725.71,0.6537620441140538
1.5,63095734448017.37,0.6681711380966755
1.5,79432823472425.61,0.7171368475766077
1.5,99999999999996.72,0.7420974484394525
1.5,125892541179412.5,0.7987290193087327
1.5,158489319246105.9,0.8252061620748442
1.5,199526231496880.97,0.810484915260535
1.5,251188643150948.97,0.8600479427311291
1.5,316227766016826.3,0.8784130857381119
1.75,99999999999.99918,0.9504444968318148
1.75,125892541179.4156,0.9192751755829852
1.75,158489319246.1098,0.924479794437526
1.75,199526231496.88583,0.9218309023229746
1.75,251188643150.9551,0.933257400670412
1.75,316227766016.83405,0.9447906258947046
1.75,398107170553.49207,0.9557668513271564
1.75,501187233627.2653,0.9645022205910658
1.75,630957344480.184,0.936954535479134
1.75,794328234724.2692,0.7873206101451221
1.75,999999999999.9836,0.7240971393982114
1.75,1258925411794.1455,0.6945992319581421
1.75,1584893192461.085,0.664425937629438
1.75,1995262314968.842,0.6266802821022164
1.75,2511886431509.531,0.5902800206126786
1.75,3162277660168.3145,0.5700471980343242
1.75,3981071705534.888,0.5396539322353107
1.75,5011872336272.612,0.5263742984095062
1.75,6309573444801.788,0.5228425086800984
1.75,7943282347242.627,0.5205213039164499
1.75,9999999999999.754,0.5241143179019345
1.75,12589254117941.354,0.5388261353408236
1.75,15848931924610.72,0.5507224097982074
1.75,19952623149688.258,0.5702652842362094
1.75,25118864315095.1,0.5944408984731191
1.75,31622776601682.887,0.6254453678544676
1.75,39810717055348.555,0.6365970204949681
1.75,50118723362725.71,0.6711242749931253
1.75,63095734448017.37,0.7149296474100306
1.75,79432823472425.61,0.7320362624459564
1.75,99999999999996.72,0.7792704131056762
1.75,125892541179412.5,0.780625292969651
1.75,158489319246105.9,0.8070101659322542
1.75,199526231496880.97,0.8432586259151611
1.75,251188643150948.97,0.8629622005481928
2.0,99999999999.99918,0.9489186573463656
2.0,125892541179.4156,0.9579399066380074
2.0,158489319246.1098,0.9349996865428084
2.0,199526231496.88583,0.9455720039778904
2.0,251188643150.9551,0.9532231908883044
2.0,316227766016.83405,0.9619608618821224
2.0,398107170553.49207,0.9701658671485344
2.0,501187233627.2653,0.9766772383745912
2.0,630957344480.184,0.956223594714417
2.0,794328234724.2692,0.8303206220301576
2.0,999999999999.9836,0.750311253052496
2.0,1258925411794.1455,0.7235309023464304
2.0,1584893192461.085,0.6858858769596415
2.0,1995262314968.842,0.6548623306071886
2.0,2511886431509.531,0.6226140063414811
2.0,3162277660168.3145,0.5946626007006431
2.0,3981071705534.888,0.5699507103412347
2.0,5011872336272.612,0.5615893036899616
2.0,6309573444801.788,0.5508036464973118
2.0,7943282347242.627,0.5504736047863333
2.0,9999999999999.754,0.557874481703073
2.0,12589254117941.354,0.5661533000969454
2.0,15848931924610.72,0.5833771229631539
2.0,19952623149688.258,0.5966149539093226
2.0,25118864315095.1,0.6212548469431106
2.0,31622776601682.887,0.6413327651207169
2.0,39810717055348.555,0.6600292412551144
2.0,50118723362725.71,0.6956886040358711
2.0,63095734448017.37,0.733401750036612
2.0,79432823472425.61,0.7725801212997381
2.0,99999999999996.72,0.7941847707710945
2.0,125892541179412.5,0.829625027268496
2.0,158489319246105.9,0.8335933515340357
2.0,199526231496880.97,0.8517887324377467
2.25,99999999999.99918,0.944468297413244
2.25,125892541179.4156,0.9917795116101192
2.25,158489319246.1098,0.9634658760816546
2.25,199526231496.88583,0.963757361268458
2.25,251188643150.9551,0.9608971520775716
2.25,316227766016.83405,0.9689117543260192
2.25,398107170553.49207,0.9824561402908112
2.25,501187233627.2653,0.987142080074672
2.25,630957344480.184,0.971060625746014
2.25,794328234724.2692,0.875424618749135
2.25,999999999999.9836,0.7828849044994303
2.25,1258925411794.1455,0.7463658494516853
2.25,1584893192461.085,0.7163111976859599
2.25,1995262314968.842,0.6812700731046442
2.25,2511886431509.531,0.6550476720260496
2.25,3162277660168.3145,0.6223308301911383
2.25,3981071705534.888,0.6007872109914683
2.25,5011872336272.612,0.5881813618716978
2.25,6309573444801.788,0.5779194243414945
2.25,7943282347242.627,0.5795509770528253
2.25,9999999999999.754,0.587587495411771
2.25,12589254117941.354,0.5970120585519111
2.25,15848931924610.72,0.600734515892776
2.25,19952623149688.258,0.6345038530164437
2.25,25118864315095.1,0.6524401507321387
2.25,31622776601682.887,0.6693436597593636
2.25,39810717055348.555,0.702015367163864
2.25,50118723362725.71,0.7118838933814292
2.25,63095734448017.37,0.7628727108347002
2.25,79432823472425.61,0.77703799370317
2.25,99999999999996.72,0.8069049708012219
2.25,125892541179412.5,0.9223206056025992
2.25,158489319246105.9,0.8228496194536806
2.5,99999999999.99918,1.1012939871331566
2.5,125892541179.4156,0.9992104930158564
2.5,158489319246.1098,0.9664081411737038
2.5,199526231496.88583,0.9726857206082784
2.5,251188643150.9551,0.9770354631695564
2.5,316227766016.83405,0.9813216415263268
2.5,398107170553.49207,0.9854483594642208
2.5,501187233627.2653,0.9889738418840792
2.5,630957344480.184,0.9807489930358184
2.5,794328234724.2692,0.9113344103400196
2.5,999999999999.9836,0.8099368440582843
2.5,1258925411794.1455,0.764863576150384
2.5,1584893192461.085,0.7386893241480654
2.5,1995262314968.842,0.7057853314468585
2.5,2511886431509.531,0.6797567209396929
2.5,3162277660168.3145,0.6494637855160389
2.5,3981071705534.888,0.6304503425485514
2.5,5011872336272.612,0.6154248503244529
2.5,6309573444801.788,0.6137109369167556
2.5,7943282347242.627,0.6096047248634888
2.5,9999999999999.754,0.611859280467422
2.5,12589254117941.354,0.6268427657187768
2.5,15848931924610.72,0.6327901780534158
2.5,19952623149688.258,0.6561587264869693
2.5,25118864315095.1,0.6620244283198111
2.5,31622776601682.887,0.6796752553252456
2.5,39810717055348.555,0.7202205328448117
2.5,50118723362725.71,0.6894777849968478
2.5,63095734448017.37,0.8542675526018052
2.5,79432823472425.61,0.7731108873842173
2.5,99999999999996.72,0.8659241658364596
2.75,99999999999.99918,0.9504444982763716
2.75,125892541179.4156,0.9999999462914424
2.75,158489319246.1098,0.96803823135008
2.75,199526231496.88583,0.9737945807642744
2.75,251188643150.9551,0.9785181563617597
2.75,316227766016.83405,0.9825600188519434
2.75,398107170553.49207,0.986720611437211
2.75,501187233627.2653,0.9907472352919876
2.75,630957344480.184,0.9879372150247114
2.75,794328234724.2692,0.9353456662035172
2.75,999999999999.9836,0.8351486010793885
2.75,1258925411794.1455,0.7939263891835849
2.75,1584893192461.085,0.7610816133953896
2.75,1995262314968.842,0.7327447044182241
2.75,2511886431509.531,0.7064463391895391
2.75,3162277660168.3145,0.6791067038619765
2.75,3981071705534.888,0.6613303933290625
2.75,5011872336272.612,0.6521508188756757
2.75,6309573444801.788,0.634558413355843
2.75,7943282347242.627,0.6320611160581434
2.75,9999999999999.754,0.6377830739408697
2.75,12589254117941.354,0.6434549605211316
2.75,15848931924610.72,0.6687643526694234
2.75,19952623149688.258,0.6718138522686822
2.75,25118864315095.1,0.6987500443240268
2.75,31622776601682.887,0.6920084279317629
2.75,39810717055348.555,0.7172492755225471
2.75,50118723362725.71,0.7550131564972615
2.75,63095734448017.37,0.8257297944158789
2.75,79432823472425.61,0.9066063170139022
3.0,99999999999.99918,1.049580313142511
3.0,125892541179.4156,0.9999999634009004
3.0,158489319246.1098,0.9689117606696332
3.0,199526231496.88583,0.975193356341358
3.0,251188643150.9551,0.9800586776515668
3.0,316227766016.83405,0.9839058032415549
3.0,398107170553.49207,0.9943162301078858
3.0,501187233627.2653,0.9980067398342652
3.0,630957344480.184,0.990280914167346
3.0,794328234724.2692,0.9562083427922192
3.0,999999999999.9836,0.8647570393299824
3.0,1258925411794.1455,0.8132353030298785
3.0,1584893192461.085,0.7826094353604386
3.0,1995262314968.842,0.7563234659938257
3.0,2511886431509.531,0.7320300706780624
3.0,3162277660168.3145,0.704815865353475
3.0,3981071705534.888,0.6893706650558034
3.0,5011872336272.612,0.6731562377374695
3.0,6309573444801.788,0.6624473421792948
3.0,7943282347242.627,0.657041708607156
3.0,9999999999999.754,0.6485751056039002
3.0,12589254117941.354,0.6696924375373732
3.0,15848931924610.72,0.697301637598067
3.0,19952623149688.258,0.7264461548209162
3.0,25118864315095.1,0.7535675917640918
3.0,31622776601682.887,0.7934681456397924
3.0,39810717055348.555,0.7538345417563423
3.0,50118723362725.71,0.8435623399848996
3.0,99999999999996.72,0.86998972437802
